rva	size	symbol	provenance
0x00094180	1	?gbInPollSound@@3DA	evidence/poll-sound.md; accessed storage only
0x0009FE78	4	?gbForegroundApp@@3HA	evidence/poll-sound.md; accessed storage only
0x000A0DEC	4	?gReadByteAssertLine@@3FA	evidence/resource-manager-layout.md; ReadByte assertion line record
0x000A0DF0	26	?gReadByteAssertFile@@3PADA	evidence/resource-manager-layout.md; ReadByte assertion source path
0x000A0E0C	4	?gReadWordAssertLine@@3FA	evidence/resource-manager-layout.md; ReadWord assertion line record
0x000A0E10	26	?gReadWordAssertFile@@3PADA	evidence/resource-manager-layout.md; ReadWord assertion source path
0x000A0E2C	4	?gReadLongAssertLine@@3FA	evidence/resource-manager-layout.md; ReadLong assertion line record
0x000A0E30	26	?gReadLongAssertFile@@3PADA	evidence/resource-manager-layout.md; ReadLong assertion source path
0x000A0E4C	4	?gReadBlockAssertLine@@3FA	evidence/resource-manager-layout.md; ReadBlock assertion line record
0x000A0E50	26	?gReadBlockAssertFile@@3PADA	evidence/resource-manager-layout.md; ReadBlock assertion source path
0x000A1808	4	_gIconXAdjust	evidence/handwritten-assembly-survey.md; code-required icon-frame scratch identity
0x000A180C	4	_gIconYAdjust	evidence/handwritten-assembly-survey.md; code-required icon-frame scratch identity
0x000A1810	4	_gIconDataBase	evidence/handwritten-assembly-survey.md; code-required icon-data base identity
0x000A1814	4	_gIconWidth	evidence/handwritten-assembly-survey.md; code-required icon-frame width identity
0x000A1818	4	_gIconHeight	evidence/handwritten-assembly-survey.md; code-required icon-frame height identity
0x000A1AA0	256	_gDimPalette	evidence/handwritten-assembly-survey.md; code-required palette identity and extent
0x000A1BA0	4	_gBitmapSourceSkip	evidence/handwritten-assembly-survey.md; code-required bitmap source row-skip scratch
0x000A1BA4	4	_gBitmapRowSkip	evidence/handwritten-assembly-survey.md; code-required bitmap row-skip scratch
0x000A1BC8	4	_gTileScratch	evidence/handwritten-assembly-survey.md; code-required identity only
0x000A1BCC	2	_gTileRows	evidence/handwritten-assembly-survey.md; code-required identity only
0x000C6A94	4	?gNextSoundPollTick@@3JA	evidence/poll-sound.md; accessed storage only
0x000C7CA8	4	?gpSoundManager@@3PAVsoundManager@@A	evidence/poll-sound.md; accessed storage only
