rva	size	donor	donor_rva	symbol	unit	score	margin	target_strings	evidence
0x00001000	0xa0	pol20	0x000cc330	void soundManager::constructor(void)	BASE/soundmgr	0.588617	0.048081		shape=0.548;size=0.744;calls=1.000;alternate=buka21:?CallCatchBlock@@YAPAXPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAU_CONTEXT@@PBU_s_FuncInfo@@PAXHK@Z@0x000d9f63:0.476799
0x000010a0	0x1f	pol20	0x000d40b0	void setGlobalCRC(unsigned int)	BASE/Bzip	0.970000	0.000000		instruction-sequence;alternate=buka21:?_JumpToContinuation@@YGXPAXPAUEHRegistrationNode@@@Z@0x000d6a49:0.429882
0x000010bf	0x169	buka21	0x00065169	?Open@highScoreManager@@UAEHH@Z	SOURCE/HISCORE	0.779726	0.779726	highScoreManager|hiscore.bin|hiscore.bmp	shape=0.537;size=0.989;calls=0.923;strings=highScoreManager|hiscore.bin;alternate=pol20:int highScoreManager::Open(int);   // virtual [override (implements baseManager pure virtual)]@0x00089a96:0.772272
0x00001228	0x5d	pol20	0x00089be2	void highScoreManager::Close(void);   // virtual [override (implements baseManager pure virtual)]	SOURCE/HISCORE	0.970000	0.970000		instruction-sequence;alternate=buka21:??1textWidget@@UAE@XZ@0x000c31c0:0.584783
0x00001285	0x269	pol20	0x00089c40	int highScoreManager::Main(struct tag_message &);   // virtual [override (implements baseManager pure virtual)]	SOURCE/HISCORE	0.663334	0.164772		shape=0.660;size=0.898;calls=1.000;alternate=buka21:?Main@highScoreManager@@UAEHAAUtag_message@@@Z@0x00065325:0.479652
0x000014ee	0x672	pol20	0x00089e6a	void highScoreManager::Update(void)	SOURCE/HISCORE	0.749014	0.135093	%sCAMPAIGN.HS|%sSTANDARD.HS|.\DATA\|hiscore.bmp	shape=0.611;size=0.824;calls=0.730;strings=%sCAMPAIGN.HS|%sSTANDARD.HS|.\DATA\;alternate=buka21:?Update@highScoreManager@@QAEXXZ@0x000654ef:0.683474
0x00001b60	0x164	pol20	0x0008b310	void SetupRecruitWin(class heroWindow *, int, int, int, int, int)	SOURCE/RECRUIT	0.894221	0.234365	%s %s|%s%d|Available: |Recruit	shape=0.833;size=0.899;calls=0.929;strings=%s %s|%s%d|Available: ;alternate=buka21:?SetupRecruitWin@@YIXPAVheroWindow@@HHHHH@Z@0x0008c330:0.642179
0x00001cc4	0x282	pol20	0x0008b49c	int recruitUnit::Open(int);   // virtual [override (implements baseManager pure virtual)]	SOURCE/RECRUIT	0.823836	0.823836	recruit0.bin|recruit1.bin|recruitManager	shape=0.670;size=0.914;calls=1.000;strings=recruit0.bin|recruit1.bin|recruitManager;alternate=buka21:?Open@recruitUnit@@UAEHH@Z@0x0008c522:0.766621
0x00001f46	0xd1	pol20	0x0008b6e7	void recruitUnit::Close(void);   // virtual [override (implements baseManager pure virtual)]	SOURCE/RECRUIT	0.720117	0.720117	There is no room in the garrison for this army.	shape=0.460;size=0.905;calls=0.857;strings=There is no room in the garrison for this army.;alternate=buka21:?Close@recruitUnit@@UAEXXZ@0x0008c78d:0.515555
0x00002017	0x127	pol20	0x0008b7ce	void recruitUnit::Update(void)	SOURCE/RECRUIT	0.854191	0.227370	%s%d|Available: 	shape=0.689;size=0.983;calls=1.000;strings=%s%d|Available: ;alternate=buka21:?Update@recruitUnit@@QAEXXZ@0x0008c855:0.730023
0x0000213e	0x3e5	pol20	0x0008b8f0	int recruitUnit::Main(struct tag_message &);   // virtual [override (implements baseManager pure virtual)]	SOURCE/RECRUIT	0.388944	0.012429		shape=0.308;size=0.949;calls=0.231;alternate=buka21:?SplitArmy@townManager@@QAEXXZ@0x000a84b7:0.372999
0x00002523	0xd6	pol20	0x0008bd0b	void recruitUnit::constructor(class armyGroup *, int, short int *)	SOURCE/RECRUIT	0.704814	0.044681		shape=0.698;size=0.960;calls=1.000;alternate=buka21:??0recruitUnit@@QAE@PAVtown@@HH@Z@0x0008cdcb:0.559180
0x000025f9	0xf4	pol20	0x0008bdea	void recruitUnit::constructor(class town *, int, int)	SOURCE/RECRUIT	0.714071	0.084947		shape=0.709;size=0.972;calls=1.000;alternate=buka21:??0recruitUnit@@QAE@PAVtown@@HH@Z@0x0008cdcb:0.543110
0x000026ed	0x1c3	pol20	0x0008bee5	void QuickViewRecruit(class town *, int)	SOURCE/RECRUIT	0.715778	0.715778	recruiq0.bin|recruiq1.bin	shape=0.611;size=0.743;calls=0.727;strings=recruiq0.bin|recruiq1.bin;alternate=buka21:?QuickViewRecruit@@YIXPAVtown@@H@Z@0x0008ceaa:0.627669
0x000028b0	0x240	pol20	0x000c3d70	void * BaseAlloc(unsigned int, char *, int)	BASE/Misc	0.380038	0.049420		shape=0.135;size=0.915;calls=0.556;alternate=buka21:?LoadRemote@advManager@@QAEXXZ@0x00012c7a:0.340085
0x00002af0	0xf0	pol20	0x000a25e0	int searchArray::BuildPath(int, int, int, int, int)	SOURCE/SEARCH	0.441049	0.131525		shape=0.190;size=0.800;calls=1.000;alternate=buka21:?IncrementHourGlass@philAI@@QAEXXZ@0x00088b69:0.379860
