rva	size	donor	donor_rva	symbol	unit	evidence
0x00001000	0xa0	pol20	0x000cc330	void soundManager::constructor(void)	BASE/soundmgr	graph:2;base=0.588617;margin=0.048081;shape=0.548;size=0.744;calls=1.000
0x000010bf	0x169	buka21	0x00065169	?Open@highScoreManager@@UAEHH@Z	SOURCE/HISCORE	graph:1;base=0.779726;margin=0.242262;shape=0.537;size=0.989;calls=0.923;strings=highScoreManager|hiscore.bin;alternate=pol20:int highScoreManager::Open(int);   // virtual [override (implements baseManager pure virtual)]@0x00089a96
0x00001228	0x5d	pol20	0x00089be2	void highScoreManager::Close(void);   // virtual [override (implements baseManager pure virtual)]	SOURCE/HISCORE	unique-instructions
0x00001285	0x269	buka21	0x00065325	?Main@highScoreManager@@UAEHAAUtag_message@@@Z	SOURCE/HISCORE	graph:2;base=0.479652;margin=0.177846;shape=0.336;size=0.742;calls=1.000;alternate=pol20:int highScoreManager::Main(struct tag_message &);   // virtual [override (implements baseManager pure virtual)]@0x00089c40
0x000014ee	0x672	buka21	0x000654ef	?Update@highScoreManager@@QAEXXZ	SOURCE/HISCORE	graph:2;base=0.683474;margin=0.421632;shape=0.404;size=0.957;calls=0.730;strings=%sCAMPAIGN.HS|%sSTANDARD.HS|.\DATA\;alternate=pol20:void highScoreManager::Update(void)@0x00089e6a
0x00001b60	0x164	buka21	0x0008c330	?SetupRecruitWin@@YIXPAVheroWindow@@HHHHH@Z	SOURCE/RECRUIT	graph:2;base=0.642179;margin=0.286053;shape=0.397;size=0.715;calls=0.929;strings=%s %s|%s%d;alternate=pol20:void SetupRecruitWin(class heroWindow *, int, int, int, int, int)@0x0008b310
0x00001cc4	0x282	buka21	0x0008c522	?Open@recruitUnit@@UAEHH@Z	SOURCE/RECRUIT	graph:4;base=0.766621;margin=0.519238;shape=0.510;size=0.964;calls=1.000;strings=recruit0.bin|recruit1.bin|recruitManager;alternate=pol20:int recruitUnit::Open(int);   // virtual [override (implements baseManager pure virtual)]@0x0008b49c
0x00001f46	0xd1	buka21	0x0008c78d	?Close@recruitUnit@@UAEXXZ	SOURCE/RECRUIT	graph:2;base=0.515555;margin=0.462411;shape=0.327;size=0.957;calls=0.857;alternate=pol20:void recruitUnit::Close(void);   // virtual [override (implements baseManager pure virtual)]@0x0008b6e7
0x00002017	0x127	buka21	0x0008c855	?Update@recruitUnit@@QAEXXZ	SOURCE/RECRUIT	graph:1;base=0.730023;margin=0.237862;shape=0.449;size=0.939;calls=1.000;strings=%s%d;alternate=pol20:void recruitUnit::Update(void)@0x0008b7ce
0x0000213e	0x3e5	buka21	0x0008c96a	?Main@recruitUnit@@UAEHAAUtag_message@@@Z	SOURCE/RECRUIT	graph:2;base=0.367477;margin=0.265938;shape=0.265;size=0.928;calls=0.231;alternate=pol20:int recruitUnit::Main(struct tag_message &);   // virtual [override (implements baseManager pure virtual)]@0x0008b8f0
