unit	source	functions
BASE/BITS	src/carcass/BASE/BITS.cpp	2
BASE/INPUTMGR	src/carcass/BASE/INPUTMGR.cpp	1
BASE/MOUSEMGR	src/carcass/BASE/MOUSEMGR.cpp	2
BASE/Misc	src/carcass/BASE/Misc.cpp	1
BASE/RESMGR	src/carcass/BASE/RESMGR.cpp	10
BASE/WINDOW	src/carcass/BASE/WINDOW.cpp	12
BASE/WINMGR	src/carcass/BASE/WINMGR.cpp	3
BASE/soundmgr	src/carcass/BASE/soundmgr.cpp	1
SOURCE/ADVMGR	src/carcass/SOURCE/ADVMGR.cpp	64
SOURCE/CMBTMGR	src/carcass/SOURCE/CMBTMGR.cpp	9
SOURCE/COMMAND	src/carcass/SOURCE/COMMAND.cpp	18
SOURCE/EVENTS	src/carcass/SOURCE/EVENTS.cpp	19
SOURCE/GAME	src/carcass/SOURCE/GAME.cpp	40
SOURCE/HERO	src/carcass/SOURCE/HERO.cpp	22
SOURCE/HISCORE	src/carcass/SOURCE/HISCORE.cpp	3
SOURCE/KB	src/carcass/SOURCE/KB.cpp	27
SOURCE/Modem	src/carcass/SOURCE/Modem.cpp	9
SOURCE/PATH	src/carcass/SOURCE/PATH.cpp	2
SOURCE/PHILAI	src/carcass/SOURCE/PHILAI.cpp	33
SOURCE/RECRUIT	src/carcass/SOURCE/RECRUIT.cpp	8
SOURCE/REMOTE	src/carcass/SOURCE/REMOTE.cpp	5
SOURCE/REQUEST	src/carcass/SOURCE/REQUEST.cpp	4
SOURCE/SETUP	src/carcass/SOURCE/SETUP.cpp	15
SOURCE/SPELLS	src/carcass/SOURCE/SPELLS.cpp	6
SOURCE/STRIP	src/carcass/SOURCE/STRIP.cpp	6
SOURCE/SWAPMGR	src/carcass/SOURCE/SWAPMGR.cpp	6
SOURCE/TOWN	src/carcass/SOURCE/TOWN.cpp	4
SOURCE/TOWNMGR	src/carcass/SOURCE/TOWNMGR.cpp	23
SOURCE/kbwin	src/carcass/SOURCE/kbwin.cpp	13
SOURCE/netwin	src/carcass/SOURCE/netwin.cpp	4
SOURCE/wingraph	src/carcass/SOURCE/wingraph.cpp	13
